symbol,root_symbol,margin_day,margin_initial,capital_1x,maint_1x,buffer_1x,initial_req,maint_req,buffer_req,trade_id,clOrdId,horizon_ms,open_ts_utc,close_ts_utc,open_side,qty,contract_multiplier,pred_value,open_exec_px,close_exec_px,open_mid_px,close_mid_px,pnl_db,pnl_calc,dd_dir_ok,dd_pct_move,dd_move_ok,dd_pnl_abs_diff,dd_pnl_ok,dd_status,dd_flags,notional
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,0,,1800000,2026-06-26 13:48:50.440000+00:00,2026-06-26 14:05:55.644000+00:00,SELL,1,50,0.0,7381.75,7416.0,7381.75,7416.0,-1712.5,-1712.5,1,0.4639821180614353,1,0.0,1,PASS,,370800.0
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,1,,1800000,2026-06-26 13:54:01.808000+00:00,2026-06-26 14:18:49.307000+00:00,SELL,1,50,0.0,7379.5,7419.75,7379.5,7419.75,-2012.5,-2012.5,1,0.5454299071752828,1,0.0,1,PASS,,370987.5
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,2,,1800000,2026-06-26 13:59:03.260000+00:00,2026-06-26 14:19:09.681000+00:00,SELL,1,50,0.0,7401.25,7421.5,7401.25,7421.5,-1012.5,-1012.5,1,0.27360243202161794,1,0.0,1,PASS,,371075.0
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,3,,1800000,2026-06-26 14:10:57.118000+00:00,2026-06-26 14:24:09.190000+00:00,SELL,1,50,0.0,7420.5,7428.5,7420.5,7428.5,-400.0,-400.0,1,0.1078094468027761,1,0.0,1,PASS,,371425.0
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,4,,1800000,2026-06-26 14:24:30.893000+00:00,2026-06-26 14:29:23.807000+00:00,BUY,1,50,0.0,7428.5,7428.75,7428.5,7428.75,12.5,12.5,1,0.0033654169751632223,1,0.0,1,PASS,,371437.5
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,5,,1800000,2026-06-26 14:37:05.671000+00:00,2026-06-26 14:41:07.091000+00:00,SELL,1,50,0.0,7418.75,7413.25,7418.75,7413.25,275.0,275.0,1,0.07413647851727043,1,0.0,1,PASS,,370662.5
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,6,,1800000,2026-06-26 14:43:37.561000+00:00,2026-06-26 14:56:01.166000+00:00,SELL,1,50,0.0,7417.25,7415.5,7417.25,7415.5,87.5,87.5,1,0.02359364993764535,1,0.0,1,PASS,,370775.0
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,7,,1800000,2026-06-26 14:49:29.975000+00:00,2026-06-26 14:59:22.826000+00:00,SELL,1,50,0.0,7426.25,7422.25,7426.25,7422.25,200.0,200.0,1,0.053862986029288004,1,0.0,1,PASS,,371112.5
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,8,,1800000,2026-06-26 15:01:23.416000+00:00,2026-06-26 15:12:57.162000+00:00,BUY,1,50,0.0,7422.75,7415.0,7422.75,7415.0,-387.5,-387.5,1,0.10440874339025294,1,0.0,1,PASS,,370750.0
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,9,,1800000,2026-06-26 15:07:45.303000+00:00,2026-06-26 15:24:40.405000+00:00,BUY,1,50,0.0,7419.25,7429.25,7419.25,7429.25,500.0,500.0,1,0.13478451325942647,1,0.0,1,PASS,,371462.5
