symbol,root_symbol,margin_day,margin_initial,capital_1x,maint_1x,buffer_1x,initial_req,maint_req,buffer_req,trade_id,horizon_ms,open_ts_utc,close_ts_utc,open_side,qty,contract_multiplier,pred_value,open_exec_px,close_exec_px,open_mid_px,close_mid_px,pnl_db,pnl_calc,dd_dir_ok,dd_pct_move,dd_move_ok,dd_pnl_abs_diff,dd_pnl_ok,dd_status,dd_flags
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,02f86a6e-efc1-40fb-9928-a253724f3608,600000,46245.60021,46245.60715,SELL,1,50,-0.010160761,,7782.375,7780.875,7782.375,-75,-75,1,0.019278,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,06aec8c7-58e1-4b6b-9f53-9595bafe4971,600000,46245.60404,46245.61098,BUY,1,50,0.000556063,,7780.125,7784.875,7780.125,-237.5,-237.5,1,0.061016,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,acd89946-d391-4b78-a82b-6ded22fb277e,600000,46245.62895,46245.63589,SELL,1,50,-0.003620494,,7771.875,7778.375,7771.875,325,325,1,0.083565,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,93ae4f1e-f2ed-4602-8d40-c24fbcf4385d,600000,46245.63024,46245.63719,SELL,1,50,-0.020606313,,7772.125,7776.375,7772.125,212.5,212.5,1,0.054653,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,fa638064-152f-43ff-8358-e480c85e881d,600000,46245.63168,46245.63862,SELL,1,50,-0.012981055,,7769.125,7773.625,7769.125,225,225,1,0.057888,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,1ad195d7-136b-4fca-ae86-313cc8bd3de6,600000,46245.63652,46245.64346,SELL,1,50,-0.007032558,,7772.125,7771.375,7772.125,-37.5,-37.5,1,0.009651,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,d0225533-2912-4ea5-9374-eca79aa52212,600000,46245.64884,46245.65579,SELL,1,50,-0.020789899,,7767.125,7767.625,7767.125,25,25,1,0.006437,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,14153bd7-58c9-4307-b035-205c7eb63484,600000,46245.65115,46245.65809,SELL,1,50,-0.004801353,,7765.375,7764.625,7765.375,-37.5,-37.5,1,0.009659,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,06d3e6af-a261-4fe6-851a-acfed6fd66d3,600000,46245.65303,46245.65998,SELL,1,50,-0.026136208,,7765.875,7763.375,7765.875,-125,-125,1,0.032202,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,d184693c-6b35-43c4-a077-31682327302f,600000,46245.68115,46245.68809,SELL,1,50,-0.010638836,,7763.625,7765.875,7763.625,112.5,112.5,1,0.028973,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,53257.6,48996.99,56346.54,0e4d543c-9964-4918-a95a-0d5464141042,600000,46245.70029,46245.70723,SELL,2,50,-0.008799301,,7756.875,7758.625,7756.875,175,175,1,0.022556,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,82897fcc-3d2a-40db-87ca-c80bc91ce3c1,600000,46245.706,46245.71294,SELL,1,50,-0.006445136,,7754.125,7756.625,7754.125,125,125,1,0.032231,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,3a6622a7-ee9c-412e-bda6-c359dcc85180,600000,46245.71672,46245.72367,SELL,1,50,-0.016102336,,7755.125,7750.375,7755.125,-237.5,-237.5,1,0.061287,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,7b0892b5-4fa8-43ca-9195-733dd1e257b4,600000,46245.71948,46245.72642,SELL,1,50,-0.006754446,,7752.625,7748.625,7752.625,-200,-200,1,0.051622,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,79886.4,73495.49,84519.81,0edf6792-1dfe-4967-80eb-aa3fe82c69b1,600000,46245.73279,46245.73973,BUY,3,50,0.002691024,,7757.875,7755.875,7757.875,300,300,1,0.025787,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,8d7ff0ae-67ff-496a-ba09-30c7d94cdd08,600000,46245.73774,46245.74469,BUY,1,50,0.00105123,,7757.375,7757.875,7757.375,-25,-25,1,0.006445,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,3ab73b73-4174-440b-9789-3f1fb17db1c2,600000,46245.74245,46245.7494,BUY,1,50,0.001756792,,7757.875,7758.125,7757.875,-12.5,-12.5,1,0.003222,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,1da54ca0-7797-4339-a967-bc2818a98b63,600000,46245.75472,46245.76167,SELL,1,50,-0.003807846,,7752.875,7753.125,7752.875,12.5,12.5,1,0.003225,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,59e8b27d-cd34-4e85-93cf-6391427f37eb,600000,46245.75939,46245.76633,SELL,1,50,-0.010698287,,7749.625,7753.375,7749.625,187.5,187.5,1,0.048366,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,79886.4,73495.49,84519.81,01c58fbc-05d3-4f4c-9f7e-6c5116383ce7,600000,46245.76855,46245.7755,SELL,3,50,0.001531356,,7746.375,7749.625,7746.375,487.5,487.5,1,0.041938,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,79886.4,73495.49,84519.81,72bdceda-5fca-4f30-91b3-2f75eea7bc41,600000,46245.77064,46245.77758,SELL,3,50,-0.016788807,,7745.125,7743.875,7745.125,-187.5,-187.5,1,0.016142,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,7ea2480d-0580-41ba-8f76-8c90117ceb36,600000,46245.78005,46245.78699,SELL,1,50,-0.008291328,,7749.625,7742.875,7749.625,-337.5,-337.5,1,0.087177,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,49c268de-4533-4d9b-9b66-353d45566e65,600000,46245.78478,46245.79172,BUY,1,50,0.001970839,,7746.375,7748.875,7746.375,-125,-125,1,0.032263,1,0,1,PASS,
