symbol,root_symbol,margin_day,margin_initial,capital_1x,maint_1x,buffer_1x,initial_req,maint_req,buffer_req,trade_id,clOrdId,horizon_ms,open_ts_utc,close_ts_utc,open_side,qty,contract_multiplier,pred_value,open_exec_px,close_exec_px,open_mid_px,close_mid_px,pnl_db,pnl_calc,dd_dir_ok,dd_pct_move,dd_move_ok,dd_pnl_abs_diff,dd_pnl_ok,dd_status,dd_flags,notional
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,0,,1800000,2026-07-24 13:48:44.893000+00:00,2026-07-24 14:00:50.177000+00:00,SELL,1,50,0.0,7453.75,7439.75,7453.75,7439.75,700.0,700.0,1,0.18782492034210968,1,0.0,1,PASS,,371987.5
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,1,,1800000,2026-07-24 13:48:44.893000+00:00,2026-07-24 14:04:41.231000+00:00,SELL,1,50,0.0,7453.75,7436.25,7453.75,7436.25,875.0,875.0,1,0.23478115042763711,1,0.0,1,PASS,,371812.5
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,2,,1800000,2026-07-24 13:54:08.057000+00:00,2026-07-24 14:06:22.179000+00:00,SELL,1,50,0.0,7436.5,7439.25,7436.5,7439.25,-137.5,-137.5,1,0.03697976198480468,1,0.0,1,PASS,,371962.5
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,3,,1800000,2026-07-24 13:59:19.975000+00:00,2026-07-24 14:10:33.410000+00:00,SELL,1,50,0.0,7435.75,7451.0,7435.75,7451.0,-762.5,-762.5,1,0.2050902733416266,1,0.0,1,PASS,,372550.0
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,4,,1800000,2026-07-24 14:04:31.410000+00:00,2026-07-24 14:10:33.410000+00:00,SELL,1,50,0.0,7436.5,7451.0,7436.5,7451.0,-725.0,-725.0,1,0.19498419955624285,1,0.0,1,PASS,,372550.0
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,5,,1800000,2026-07-24 14:09:41.881000+00:00,2026-07-24 14:15:14.354000+00:00,SELL,1,50,0.0,7452.25,7454.5,7452.25,7454.5,-112.5,-112.5,1,0.03019222382501929,1,0.0,1,PASS,,372725.0
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,6,,1800000,2026-07-24 14:16:35.705000+00:00,2026-07-24 14:21:06.552000+00:00,SELL,1,50,0.0,7449.75,7445.0,7449.75,7445.0,237.5,237.5,1,0.06376052887680796,1,0.0,1,PASS,,372250.0
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,7,,1800000,2026-07-24 14:16:35.705000+00:00,2026-07-24 14:21:06.552000+00:00,SELL,1,50,0.0,7449.75,7445.0,7449.75,7445.0,237.5,237.5,1,0.06376052887680796,1,0.0,1,PASS,,372250.0
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,8,,1800000,2026-07-24 14:16:35.705000+00:00,2026-07-24 14:21:06.552000+00:00,SELL,1,50,0.0,7449.75,7445.0,7449.75,7445.0,237.5,237.5,1,0.06376052887680796,1,0.0,1,PASS,,372250.0
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,9,,1800000,2026-07-24 14:22:06.261000+00:00,2026-07-24 14:23:26.364000+00:00,SELL,1,50,0.0,7451.25,7455.25,7451.25,7455.25,-200.0,-200.0,1,0.0536822680758262,1,0.0,1,PASS,,372762.5
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,10,,1800000,2026-07-24 14:28:28.451000+00:00,2026-07-24 14:44:33.330000+00:00,SELL,1,50,0.0,7450.5,7438.25,7450.5,7438.25,612.5,612.5,1,0.16441849540299308,1,0.0,1,PASS,,371912.5
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,11,,1800000,2026-07-24 14:34:09.612000+00:00,2026-07-24 14:47:02.803000+00:00,SELL,1,50,0.0,7446.25,7440.0,7446.25,7440.0,312.5,312.5,1,0.08393486654356219,1,0.0,1,PASS,,372000.0
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,12,,1800000,2026-07-24 14:40:01.624000+00:00,2026-07-24 14:50:46.652000+00:00,SELL,1,50,0.0,7439.5,7448.75,7439.5,7448.75,-462.5,-462.5,1,0.12433631292425568,1,0.0,1,PASS,,372437.5
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,13,,1800000,2026-07-24 14:45:43.412000+00:00,2026-07-24 14:51:56.123000+00:00,SELL,1,50,0.0,7435.75,7451.25,7435.75,7451.25,-775.0,-775.0,1,0.20845240897017786,1,0.0,1,PASS,,372562.5
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,14,,1800000,2026-07-24 14:52:35.154000+00:00,2026-07-24 14:53:44.640000+00:00,SELL,1,50,0.0,7449.5,7451.0,7449.5,7451.0,-75.0,-75.0,1,0.0201355795690986,1,0.0,1,PASS,,372550.0
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,15,,1800000,2026-07-24 14:57:57.418000+00:00,2026-07-24 14:58:58.256000+00:00,SELL,1,50,0.0,7459.0,7463.0,7459.0,7463.0,-200.0,-200.0,1,0.05362649148679448,1,0.0,1,PASS,,373150.0
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,16,,1800000,2026-07-24 15:03:09.701000+00:00,2026-07-24 15:04:27.896000+00:00,SELL,1,50,0.0,7462.25,7462.0,7462.25,7462.0,12.5,12.5,1,0.003350195986465208,1,0.0,1,PASS,,373100.0
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,17,,1800000,2026-07-24 15:08:51.089000+00:00,2026-07-24 15:12:59.652000+00:00,SELL,1,50,0.0,7460.75,7469.0,7460.75,7469.0,-412.5,-412.5,1,0.11057869517139698,1,0.0,1,PASS,,373450.0
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,18,,1800000,2026-07-24 15:14:11.219000+00:00,2026-07-24 15:16:33.708000+00:00,SELL,1,50,0.0,7471.5,7483.5,7471.5,7483.5,-600.0,-600.0,1,0.16061031921300944,1,0.0,1,PASS,,374175.0
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,19,,1800000,2026-07-24 15:19:15.115000+00:00,2026-07-24 15:21:23.862000+00:00,SELL,1,50,0.0,7478.75,7481.0,7478.75,7481.0,-112.5,-112.5,1,0.030085241517633293,1,0.0,1,PASS,,374050.0
