symbol,root_symbol,margin_day,margin_initial,capital_1x,maint_1x,buffer_1x,initial_req,maint_req,buffer_req,trade_id,clOrdId,horizon_ms,open_ts_utc,close_ts_utc,open_side,qty,contract_multiplier,pred_value,open_exec_px,close_exec_px,open_mid_px,close_mid_px,pnl_db,pnl_calc,dd_dir_ok,dd_pct_move,dd_move_ok,dd_pnl_abs_diff,dd_pnl_ok,dd_status,dd_flags,notional
ESU6,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,0,,1800000,2026-09-03 14:02:17.306000+00:00,2026-09-03 14:12:09.978000+00:00,SELL,1,50.0,0.0,7708.0,7705.25,7708.0,7705.25,137.5,137.5,1,0.0356772184743124,1,0.0,1,PASS,,385262.5
ESU6,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,1,,1800000,2026-09-03 14:02:27.604000+00:00,2026-09-03 14:12:30.792000+00:00,SELL,1,50.0,0.0,7709.25,7707.25,7709.25,7707.25,100.0,100.0,1,0.02594286084898012,1,0.0,1,PASS,,385362.5
ESU6,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,2,,1800000,2026-09-03 14:02:27.604000+00:00,2026-09-03 14:12:30.792000+00:00,SELL,1,50.0,0.0,7709.25,7707.25,7709.25,7707.25,100.0,100.0,1,0.02594286084898012,1,0.0,1,PASS,,385362.5
ESU6,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,3,,1800000,2026-09-03 14:02:28.101000+00:00,2026-09-03 14:15:41.356000+00:00,SELL,1,50.0,0.0,7709.25,7711.25,7709.25,7711.25,-100.0,-100.0,1,0.02594286084898012,1,0.0,1,PASS,,385562.5
ESU6,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,4,,1800000,2026-09-03 14:02:28.610000+00:00,2026-09-03 14:17:22.086000+00:00,SELL,1,50.0,0.0,7709.5,7709.25,7709.5,7709.25,12.5,12.5,1,0.0032427524482780985,1,0.0,1,PASS,,385462.5
ESU6,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,5,,1800000,2026-09-03 14:05:38.624000+00:00,2026-09-03 14:17:33.168000+00:00,SELL,1,50.0,0.0,7705.75,7708.5,7705.75,7708.5,-137.5,-137.5,1,0.03568763585634105,1,0.0,1,PASS,,385425.0
ESU6,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,6,,1800000,2026-09-03 14:07:19.481000+00:00,2026-09-03 14:17:51.853000+00:00,SELL,1,50.0,0.0,7707.25,7710.0,7707.25,7710.0,-137.5,-137.5,1,0.03568069025917156,1,0.0,1,PASS,,385500.0
ESU6,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,7,,1800000,2026-09-03 14:07:19.981000+00:00,2026-09-03 14:19:53.133000+00:00,SELL,1,50.0,0.0,7707.25,7714.0,7707.25,7714.0,-337.5,-337.5,1,0.08757987609069383,1,0.0,1,PASS,,385700.0
ESU6,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,8,,1800000,2026-09-03 14:07:37.743000+00:00,2026-09-03 14:20:32.609000+00:00,SELL,1,50.0,0.0,7706.25,7714.25,7706.25,7714.25,-400.0,-400.0,1,0.10381184103811841,1,0.0,1,PASS,,385712.5
ESU6,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,9,,1800000,2026-09-03 14:08:38.574000+00:00,2026-09-03 14:22:13.799000+00:00,SELL,1,50.0,0.0,7702.75,7712.75,7702.75,7712.75,-500.0,-500.0,1,0.12982376424004416,1,0.0,1,PASS,,385637.5
