symbol,root_symbol,margin_day,margin_initial,capital_1x,maint_1x,buffer_1x,initial_req,maint_req,buffer_req,trade_id,clOrdId,horizon_ms,open_ts_utc,close_ts_utc,open_side,qty,contract_multiplier,pred_value,open_exec_px,close_exec_px,open_mid_px,close_mid_px,pnl_db,pnl_calc,dd_dir_ok,dd_pct_move,dd_move_ok,dd_pnl_abs_diff,dd_pnl_ok,dd_status,dd_flags
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,0,,3600000,2026-03-30 13:32:49.462000+00:00,2026-03-30 13:54:47.646000+00:00,BUY,1,50,0.0,6466.5,6426.25,6466.5,6426.25,-2012.5,-2012.5,1,0.6224387226474909,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,1,,3600000,2026-03-30 13:44:34.045000+00:00,2026-03-30 14:06:52.195000+00:00,BUY,1,50,0.0,6440.25,6420.75,6440.25,6420.75,-975.0,-975.0,1,0.3027832770466985,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,2,,3600000,2026-03-30 14:17:07.085000+00:00,2026-03-30 14:28:21.118000+00:00,BUY,1,50,0.0,6429.5,6425.25,6429.5,6425.25,-212.5,-212.5,1,0.06610156310755114,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,3,,3600000,2026-03-30 14:38:34.956000+00:00,2026-03-30 14:44:36.720000+00:00,BUY,1,50,0.0,6427.5,6416.5,6427.5,6416.5,-550.0,-550.0,1,0.17113963438350838,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,4,,3600000,2026-03-30 14:49:29.163000+00:00,2026-03-30 14:54:51.251000+00:00,SELL,1,50,0.0,6430.0,6429.75,6430.0,6429.75,12.5,12.5,1,0.0038880248833592533,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,5,,3600000,2026-03-30 14:59:32.809000+00:00,2026-03-30 15:14:26.685000+00:00,BUY,1,50,0.0,6442.0,6433.0,6442.0,6433.0,-450.0,-450.0,1,0.1397081651660975,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,6,,3600000,2026-03-30 15:24:29.994000+00:00,2026-03-30 15:35:14.657000+00:00,BUY,1,50,0.0,6435.5,6444.5,6435.5,6444.5,450.0,450.0,1,0.1398492735607179,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,7,,3600000,2026-03-30 15:46:48.899000+00:00,2026-03-30 15:49:29.845000+00:00,SELL,1,50,0.0,6444.5,6445.0,6444.5,6445.0,-25.0,-25.0,1,0.007758553805570642,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,8,,3600000,2026-03-30 15:57:43.720000+00:00,2026-03-30 15:59:33.816000+00:00,BUY,1,50,0.0,6441.0,6440.75,6441.0,6440.75,-12.5,-12.5,1,0.003881384878124515,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,9,,3600000,2026-03-30 16:07:57.151000+00:00,2026-03-30 16:24:33.456000+00:00,BUY,1,50,0.0,6429.25,6424.5,6429.25,6424.5,-237.5,-237.5,1,0.07388109032935412,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,10,,3600000,2026-03-30 16:19:21.589000+00:00,2026-03-30 16:55:45.581000+00:00,BUY,1,50,0.0,6428.75,6417.5,6428.75,6417.5,-562.5,-562.5,1,0.174995139023916,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,11,,3600000,2026-03-30 16:30:15.886000+00:00,2026-03-30 16:57:45.125000+00:00,BUY,1,50,0.0,6419.25,6418.5,6419.25,6418.5,-37.5,-37.5,1,0.011683607898118939,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,12,,3600000,2026-03-30 16:43:19.552000+00:00,2026-03-30 17:07:50.395000+00:00,BUY,1,50,0.0,6423.0,6421.0,6423.0,6421.0,-100.0,-100.0,1,0.031138097462245055,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,13,,3600000,2026-03-30 17:05:50.669000+00:00,2026-03-30 17:16:14.028000+00:00,BUY,1,50,0.0,6418.75,6406.25,6418.75,6406.25,-625.0,-625.0,1,0.19474196689386564,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,14,,3600000,2026-03-30 17:26:47.276000+00:00,2026-03-30 17:55:48.329000+00:00,SELL,1,50,0.0,6402.5,6401.25,6402.5,6401.25,62.5,62.5,1,0.01952362358453729,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,15,,3600000,2026-03-30 17:38:01.250000+00:00,2026-03-30 18:09:03.016000+00:00,SELL,1,50,0.0,6399.25,6396.0,6399.25,6396.0,162.5,162.5,1,0.050787201625190445,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,16,,3600000,2026-03-30 17:48:06.139000+00:00,2026-03-30 18:16:15.329000+00:00,SELL,1,50,0.0,6407.25,6397.75,6407.25,6397.75,475.0,475.0,1,0.14826953841351595,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,17,,3600000,2026-03-30 17:57:59.273000+00:00,2026-03-30 18:19:07.266000+00:00,SELL,1,50,0.0,6400.5,6399.25,6400.5,6399.25,62.5,62.5,1,0.019529724240293728,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,18,,3600000,2026-03-30 18:29:31.285000+00:00,2026-03-30 18:40:24.898000+00:00,BUY,1,50,0.0,6391.25,6392.75,6391.25,6392.75,75.0,75.0,1,0.023469587326422844,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,19,,3600000,2026-03-30 18:51:50.177000+00:00,2026-03-30 19:09:06.412000+00:00,BUY,1,50,0.0,6385.5,6372.5,6385.5,6372.5,-650.0,-650.0,1,0.203586250097878,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,20,,3600000,2026-03-30 19:04:24.374000+00:00,2026-03-30 19:19:10.045000+00:00,BUY,1,50,0.0,6382.75,6367.75,6382.75,6367.75,-750.0,-750.0,1,0.23500842113509068,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,21,,3600000,2026-03-30 19:14:37.590000+00:00,2026-03-30 19:29:43.911000+00:00,BUY,1,50,0.0,6367.25,6361.25,6367.25,6361.25,-300.0,-300.0,1,0.09423220385566768,1,0.0,1,PASS,
