symbol,root_symbol,margin_day,margin_initial,capital_1x,maint_1x,buffer_1x,initial_req,maint_req,buffer_req,trade_id,clOrdId,horizon_ms,open_ts_utc,close_ts_utc,open_side,qty,contract_multiplier,pred_value,open_exec_px,close_exec_px,open_mid_px,close_mid_px,pnl_db,pnl_calc,dd_dir_ok,dd_pct_move,dd_move_ok,dd_pnl_abs_diff,dd_pnl_ok,dd_status,dd_flags
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,0,,3600000,2026-03-12 13:30:22.662000+00:00,2026-03-12 13:40:34.942000+00:00,BUY,1,50,0.0,6721.5,6729.5,6721.5,6729.5,400.0,400.0,1,0.11902105184854572,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,1,,3600000,2026-03-12 13:50:38.386000+00:00,2026-03-12 14:00:41.508000+00:00,SELL,1,50,0.0,6723.5,6710.25,6723.5,6710.25,662.5,662.5,1,0.1970699784338514,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,2,,3600000,2026-03-12 14:10:34.637000+00:00,2026-03-12 14:20:41.322000+00:00,BUY,1,50,0.0,6719.5,6710.75,6719.5,6710.75,-437.5,-437.5,1,0.13021802217426892,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,3,,3600000,2026-03-12 14:30:43.823000+00:00,2026-03-12 14:50:49.766000+00:00,BUY,1,50,0.0,6697.0,6697.25,6697.0,6697.25,12.5,12.5,1,0.0037330147827385396,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,4,,3600000,2026-03-12 14:40:48.085000+00:00,2026-03-12 15:00:34.583000+00:00,BUY,1,50,0.0,6695.75,6699.5,6695.75,6699.5,187.5,187.5,1,0.05600567524175783,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,5,,3600000,2026-03-12 15:39:06.988000+00:00,2026-03-12 15:39:42.353000+00:00,BUY,1,50,0.0,6697.0,6711.25,6697.0,6711.25,712.5,712.5,1,0.21278184261609678,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,6,,3600000,2026-03-12 15:40:21.298000+00:00,2026-03-12 15:40:55.803000+00:00,BUY,1,50,0.0,6711.0,6703.0,6711.0,6703.0,-400.0,-400.0,1,0.11920727164357026,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,7,,3600000,2026-03-12 15:41:27.105000+00:00,2026-03-12 15:41:55.953000+00:00,BUY,1,50,0.0,6704.5,6703.0,6704.5,6703.0,-75.0,-75.0,1,0.02237303303751212,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,8,,3600000,2026-03-12 15:42:01.001000+00:00,2026-03-12 15:42:51.126000+00:00,BUY,1,50,0.0,6709.5,6712.75,6709.5,6712.75,162.5,162.5,1,0.04843878083314703,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,9,,3600000,2026-03-12 15:43:34.071000+00:00,2026-03-12 15:43:37.671000+00:00,BUY,1,50,0.0,6719.0,6716.25,6719.0,6716.25,-137.5,-137.5,1,0.04092870962940914,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,10,,3600000,2026-03-12 15:44:07.033000+00:00,2026-03-12 16:30:48.155000+00:00,BUY,1,50,0.0,6713.25,6701.75,6713.25,6701.75,-575.0,-575.0,1,0.17130302014672474,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,11,,3600000,2026-03-12 15:51:23.602000+00:00,2026-03-12 16:41:21.903000+00:00,BUY,1,50,0.0,6707.0,6715.75,6707.0,6715.75,437.5,437.5,1,0.13046071268823617,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,12,,3600000,2026-03-12 16:01:28.731000+00:00,2026-03-12 16:51:27.211000+00:00,BUY,1,50,0.0,6713.25,6704.5,6713.25,6704.5,-437.5,-437.5,1,0.1303392544594645,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,13,,3600000,2026-03-12 16:11:40.287000+00:00,2026-03-12 17:01:31.066000+00:00,BUY,1,50,0.0,6696.5,6706.0,6696.5,6706.0,475.0,475.0,1,0.1418651534383633,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,14,,3600000,2026-03-12 16:21:38.295000+00:00,2026-03-12 17:11:33.730000+00:00,BUY,1,50,0.0,6724.25,6709.75,6724.25,6709.75,-725.0,-725.0,1,0.2156374316838309,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,15,,3600000,2026-03-12 16:31:38.902000+00:00,2026-03-12 17:21:38.349000+00:00,BUY,1,50,0.0,6702.25,6700.5,6702.25,6700.5,-87.5,-87.5,1,0.026110634488418067,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,16,,3600000,2026-03-12 16:41:34.811000+00:00,2026-03-12 17:31:40.619000+00:00,BUY,1,50,0.0,6715.0,6705.75,6715.0,6705.75,-462.5,-462.5,1,0.13775130305286673,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,17,,3600000,2026-03-12 16:51:47.420000+00:00,2026-03-12 17:41:45.697000+00:00,BUY,1,50,0.0,6701.25,6709.25,6701.25,6709.25,400.0,400.0,1,0.11938071255362805,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,18,,3600000,2026-03-12 17:01:39.633000+00:00,2026-03-12 17:51:40.097000+00:00,BUY,1,50,0.0,6706.75,6703.5,6706.75,6703.5,-162.5,-162.5,1,0.048458642412494875,1,0.0,1,PASS,
