symbol,root_symbol,margin_day,margin_initial,capital_1x,maint_1x,buffer_1x,initial_req,maint_req,buffer_req,trade_id,clOrdId,horizon_ms,open_ts_utc,close_ts_utc,open_side,qty,contract_multiplier,pred_value,open_exec_px,close_exec_px,open_mid_px,close_mid_px,pnl_db,pnl_calc,dd_dir_ok,dd_pct_move,dd_move_ok,dd_pnl_abs_diff,dd_pnl_ok,dd_status,dd_flags,notional
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,0,,3600000,2026-04-22 13:40:30.870000+00:00,2026-04-22 13:55:57.227000+00:00,BUY,1,50,0.0,7147.75,7149.25,7147.75,7149.25,75.0,75.0,1,0.02098562484697982,1,0.0,1,PASS,,357462.5
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,1,,3600000,2026-04-22 13:55:57.227000+00:00,2026-04-22 14:55:59.597000+00:00,SELL,1,50,0.0,7149.25,7156.0,7149.25,7156.0,-337.5,-337.5,1,0.0944154981291744,1,0.0,1,PASS,,357800.0
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,2,,3600000,2026-04-22 13:55:57.227000+00:00,2026-04-22 14:55:59.597000+00:00,SELL,1,50,0.0,7149.25,7156.0,7149.25,7156.0,-337.5,-337.5,1,0.0944154981291744,1,0.0,1,PASS,,357800.0
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,3,,3600000,2026-04-22 14:03:31.064000+00:00,2026-04-22 14:55:59.597000+00:00,SELL,1,50,0.0,7153.75,7156.0,7153.75,7156.0,-112.5,-112.5,1,0.0314520356456404,1,0.0,1,PASS,,357800.0
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,4,,3600000,2026-04-22 14:03:31.064000+00:00,2026-04-22 15:03:32.357000+00:00,SELL,1,50,0.0,7153.75,7155.0,7153.75,7155.0,-62.5,-62.5,1,0.017473353136466887,1,0.0,1,PASS,,357750.0
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,5,,3600000,2026-04-22 14:03:31.064000+00:00,2026-04-22 15:03:32.357000+00:00,SELL,1,50,0.0,7153.75,7155.0,7153.75,7155.0,-62.5,-62.5,1,0.017473353136466887,1,0.0,1,PASS,,357750.0
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,6,,3600000,2026-04-22 14:11:44.157000+00:00,2026-04-22 15:03:32.357000+00:00,SELL,1,50,0.0,7156.0,7155.0,7156.0,7155.0,50.0,50.0,1,0.013974287311347122,1,0.0,1,PASS,,357750.0
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,7,,3600000,2026-04-22 14:19:25.877000+00:00,2026-04-22 15:11:54.496000+00:00,SELL,1,50,0.0,7162.0,7159.75,7162.0,7159.75,112.5,112.5,1,0.031415805640882435,1,0.0,1,PASS,,357987.5
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,8,,3600000,2026-04-22 14:30:01.257000+00:00,2026-04-22 15:19:36.544000+00:00,SELL,1,50,0.0,7164.75,7157.0,7164.75,7157.0,387.5,387.5,1,0.10816846365888551,1,0.0,1,PASS,,357850.0
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,9,,3600000,2026-04-22 14:38:42.948000+00:00,2026-04-22 15:29:51.603000+00:00,SELL,1,50,0.0,7161.5,7160.75,7161.5,7160.75,37.5,37.5,1,0.010472666340850381,1,0.0,1,PASS,,358037.5
