symbol,root_symbol,margin_day,margin_initial,capital_1x,maint_1x,buffer_1x,initial_req,maint_req,buffer_req,trade_id,clOrdId,horizon_ms,open_ts_utc,close_ts_utc,open_side,qty,contract_multiplier,pred_value,open_exec_px,close_exec_px,open_mid_px,close_mid_px,pnl_db,pnl_calc,dd_dir_ok,dd_pct_move,dd_move_ok,dd_pnl_abs_diff,dd_pnl_ok,dd_status,dd_flags,notional
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,0,,1800000,2026-06-10 13:34:02.208000+00:00,2026-06-10 13:39:03.397000+00:00,SELL,1,50,0.0,7346.0,7368.75,7346.0,7368.75,-1137.5,-1137.5,1,0.3096923495780016,1,0.0,1,PASS,,368437.5
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,1,,1800000,2026-06-10 13:34:02.208000+00:00,2026-06-10 14:01:09.102000+00:00,SELL,1,50,0.0,7346.0,7378.0,7346.0,7378.0,-1600.0,-1600.0,1,0.4356112169888375,1,0.0,1,PASS,,368900.0
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,2,,1800000,2026-06-10 13:44:56.750000+00:00,2026-06-10 14:01:09.102000+00:00,SELL,1,50,0.0,7382.0,7378.0,7382.0,7378.0,200.0,200.0,1,0.0541858574911948,1,0.0,1,PASS,,368900.0
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,3,,1800000,2026-06-10 13:44:56.750000+00:00,2026-06-10 14:01:09.102000+00:00,SELL,1,50,0.0,7382.0,7378.0,7382.0,7378.0,200.0,200.0,1,0.0541858574911948,1,0.0,1,PASS,,368900.0
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,4,,1800000,2026-06-10 13:44:56.750000+00:00,2026-06-10 14:04:06.909000+00:00,SELL,1,50,0.0,7382.0,7387.0,7382.0,7387.0,-250.0,-250.0,1,0.0677323218639935,1,0.0,1,PASS,,369350.0
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,5,,1800000,2026-06-10 13:49:56.162000+00:00,2026-06-10 14:04:06.909000+00:00,SELL,1,50,0.0,7385.25,7387.0,7385.25,7387.0,-87.5,-87.5,1,0.023695880301953215,1,0.0,1,PASS,,369350.0
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,6,,1800000,2026-06-10 13:56:09.344000+00:00,2026-06-10 14:06:22.520000+00:00,SELL,1,50,0.0,7381.25,7385.5,7381.25,7385.5,-212.5,-212.5,1,0.05757832345469941,1,0.0,1,PASS,,369275.0
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,7,,1800000,2026-06-10 13:56:09.344000+00:00,2026-06-10 14:06:22.520000+00:00,SELL,1,50,0.0,7381.25,7385.5,7381.25,7385.5,-212.5,-212.5,1,0.05757832345469941,1,0.0,1,PASS,,369275.0
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,8,,1800000,2026-06-10 14:12:06.309000+00:00,2026-06-10 14:15:01.049000+00:00,SELL,1,50,0.0,7391.75,7388.0,7391.75,7388.0,187.5,187.5,1,0.05073223526228565,1,0.0,1,PASS,,369400.0
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,9,,1800000,2026-06-10 14:15:01.049000+00:00,2026-06-10 14:28:19.990000+00:00,BUY,1,50,0.0,7388.0,7394.75,7388.0,7394.75,337.5,337.5,1,0.09136437466161343,1,0.0,1,PASS,,369737.5
