symbol,root_symbol,margin_day,margin_initial,capital_1x,maint_1x,buffer_1x,initial_req,maint_req,buffer_req,trade_id,clOrdId,horizon_ms,open_ts_utc,close_ts_utc,open_side,qty,contract_multiplier,pred_value,open_exec_px,close_exec_px,open_mid_px,close_mid_px,pnl_db,pnl_calc,dd_dir_ok,dd_pct_move,dd_move_ok,dd_pnl_abs_diff,dd_pnl_ok,dd_status,dd_flags,notional
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,0,,900000,2026-05-26 13:33:19.802000+00:00,2026-05-26 13:33:32.713000+00:00,SELL,1,50,0.0,7531.75,7531.25,7531.75,7531.25,25.0,25.0,1,0.006638563414877021,1,0.0,1,PASS,,376562.5
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,1,,900000,2026-05-26 13:33:34.695000+00:00,2026-05-26 13:35:37.410000+00:00,BUY,1,50,0.0,7531.5,7525.5,7531.5,7525.5,-300.0,-300.0,1,0.07966540529774944,1,0.0,1,PASS,,376275.0
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,2,,900000,2026-05-26 13:44:24.444000+00:00,2026-05-26 13:55:37.337000+00:00,SELL,1,50,0.0,7538.75,7537.0,7538.75,7537.0,87.5,87.5,1,0.02321339744652628,1,0.0,1,PASS,,376850.0
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,3,,900000,2026-05-26 13:55:37.337000+00:00,2026-05-26 13:55:40.751000+00:00,BUY,1,50,0.0,7537.0,7536.25,7537.0,7536.25,-37.5,-37.5,1,0.009950908849674938,1,0.0,1,PASS,,376812.5
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,4,,900000,2026-05-26 13:55:42.735000+00:00,2026-05-26 13:57:45.195000+00:00,SELL,1,50,0.0,7536.5,7539.5,7536.5,7539.5,-150.0,-150.0,1,0.0398062761228687,1,0.0,1,PASS,,376975.0
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,5,,900000,2026-05-26 14:04:50.365000+00:00,2026-05-26 14:05:35.206000+00:00,BUY,1,50,0.0,7544.25,7545.5,7544.25,7545.5,62.5,62.5,1,0.016568910097093815,1,0.0,1,PASS,,377275.0
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,6,,900000,2026-05-26 14:09:02.640000+00:00,2026-05-26 14:31:19.102000+00:00,BUY,1,50,0.0,7546.5,7549.5,7546.5,7549.5,150.0,150.0,1,0.03975352812562115,1,0.0,1,PASS,,377475.0
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,7,,900000,2026-05-26 14:20:55.342000+00:00,2026-05-26 14:33:28.965000+00:00,BUY,1,50,0.0,7550.75,7548.75,7550.75,7548.75,-100.0,-100.0,1,0.026487435023010958,1,0.0,1,PASS,,377437.5
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,8,,900000,2026-05-26 14:42:35.079000+00:00,2026-05-26 14:44:17.550000+00:00,SELL,1,50,0.0,7554.5,7553.75,7554.5,7553.75,37.5,37.5,1,0.009927857568336753,1,0.0,1,PASS,,377687.5
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,9,,900000,2026-05-26 14:54:35.684000+00:00,2026-05-26 15:08:12.289000+00:00,BUY,1,50,0.0,7549.0,7541.25,7549.0,7541.25,-387.5,-387.5,1,0.10266260431845277,1,0.0,1,PASS,,377062.5
