id,orderId,contractId,timestamp,tradeDate,action,qty,price,active,finallyPaired,external
543188587559,543188587556,3570926,2026-06-26 16:44:53.772000+00:00,"{'year': 2026, 'month': 6, 'day': 26}",Sell,1,7434.25,True,0,False
543188587568,543188587565,3570926,2026-06-26 16:47:15.171000+00:00,"{'year': 2026, 'month': 6, 'day': 26}",Buy,1,7435.5,True,0,False
543188587579,543188587576,3570926,2026-06-26 16:49:57.277000+00:00,"{'year': 2026, 'month': 6, 'day': 26}",Sell,1,7437.0,True,0,False
543188587588,543188587585,3570926,2026-06-26 16:52:36.616000+00:00,"{'year': 2026, 'month': 6, 'day': 26}",Buy,1,7440.25,True,0,False
543188587599,543188587596,3570926,2026-06-26 16:54:58.420000+00:00,"{'year': 2026, 'month': 6, 'day': 26}",Sell,1,7439.75,True,0,False
543188587608,543188587605,3570926,2026-06-26 16:57:58.810000+00:00,"{'year': 2026, 'month': 6, 'day': 26}",Buy,1,7437.5,True,0,False
543188587619,543188587616,3570926,2026-06-26 17:00:29.882000+00:00,"{'year': 2026, 'month': 6, 'day': 26}",Buy,1,7437.0,True,0,False
543188587628,543188587625,3570926,2026-06-26 17:05:41.795000+00:00,"{'year': 2026, 'month': 6, 'day': 26}",Sell,1,7444.5,True,0,False
543188587639,543188587636,3570926,2026-06-26 17:12:02.850000+00:00,"{'year': 2026, 'month': 6, 'day': 26}",Buy,1,7446.25,True,0,False
543188587648,543188587645,3570926,2026-06-26 17:22:16.787000+00:00,"{'year': 2026, 'month': 6, 'day': 26}",Sell,1,7438.0,True,0,False
543188587659,543188587656,3570926,2026-06-26 17:28:07.830000+00:00,"{'year': 2026, 'month': 6, 'day': 26}",Sell,1,7441.0,True,0,False
543188587668,543188587665,3570926,2026-06-26 17:33:19.762000+00:00,"{'year': 2026, 'month': 6, 'day': 26}",Sell,1,7440.5,True,0,False
543188587677,543188587674,3570926,2026-06-26 17:35:40.356000+00:00,"{'year': 2026, 'month': 6, 'day': 26}",Buy,1,7436.0,True,0,False
543188587688,543188587685,3570926,2026-06-26 17:39:22.144000+00:00,"{'year': 2026, 'month': 6, 'day': 26}",Sell,1,7434.75,True,0,False
543188587697,543188587694,3570926,2026-06-26 17:44:43.692000+00:00,"{'year': 2026, 'month': 6, 'day': 26}",Sell,1,7436.25,True,0,False
543188587706,543188587703,3570926,2026-06-26 17:50:55.105000+00:00,"{'year': 2026, 'month': 6, 'day': 26}",Sell,1,7432.25,True,0,False
543188587715,543188587712,3570926,2026-06-26 17:52:24.778000+00:00,"{'year': 2026, 'month': 6, 'day': 26}",Buy,1,7434.5,True,0,False
543188587726,543188587723,3570926,2026-06-26 17:56:46.648000+00:00,"{'year': 2026, 'month': 6, 'day': 26}",Sell,1,7428.5,True,0,False
543188587735,543188587732,3570926,2026-06-26 17:58:07.412000+00:00,"{'year': 2026, 'month': 6, 'day': 26}",Buy,1,7431.5,True,0,False
543188587746,543188587743,3570926,2026-06-26 18:02:48.156000+00:00,"{'year': 2026, 'month': 6, 'day': 26}",Buy,1,7433.0,True,0,False
543188587757,543188587754,3570926,2026-06-26 18:03:28.309000+00:00,"{'year': 2026, 'month': 6, 'day': 26}",Buy,1,7432.25,True,0,False
