symbol,root_symbol,margin_day,margin_initial,capital_1x,maint_1x,buffer_1x,initial_req,maint_req,buffer_req,trade_id,clOrdId,horizon_ms,open_ts_utc,close_ts_utc,open_side,qty,contract_multiplier,pred_value,open_exec_px,close_exec_px,open_mid_px,close_mid_px,pnl_db,pnl_calc,dd_dir_ok,dd_pct_move,dd_move_ok,dd_pnl_abs_diff,dd_pnl_ok,dd_status,dd_flags,notional
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,0,,1800000,2026-04-16 13:32:47.055000+00:00,2026-04-16 13:42:00.718000+00:00,BUY,1,50,0.0,7069.5,7064.5,7069.5,7064.5,-250.0,-250.0,1,0.07072635971426551,1,0.0,1,PASS,,353225.0
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,1,,1800000,2026-04-16 13:32:47.055000+00:00,2026-04-16 13:51:25.324000+00:00,BUY,1,50,0.0,7069.5,7064.75,7069.5,7064.75,-237.5,-237.5,1,0.06719004172855224,1,0.0,1,PASS,,353237.5
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,2,,1800000,2026-04-16 13:32:47.055000+00:00,2026-04-16 13:54:36.180000+00:00,BUY,1,50,0.0,7069.5,7049.25,7069.5,7049.25,-1012.5,-1012.5,1,0.2864417568427753,1,0.0,1,PASS,,352462.5
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,3,,1800000,2026-04-16 13:35:49.203000+00:00,2026-04-16 14:02:49.280000+00:00,BUY,1,50,0.0,7071.25,7052.75,7071.25,7052.75,-925.0,-925.0,1,0.26162276825172354,1,0.0,1,PASS,,352637.5
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,4,,1800000,2026-04-16 13:38:50.120000+00:00,2026-04-16 14:02:49.280000+00:00,BUY,1,50,0.0,7068.5,7052.75,7068.5,7052.75,-787.5,-787.5,1,0.2228195515314423,1,0.0,1,PASS,,352637.5
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,5,,1800000,2026-04-16 13:45:11.916000+00:00,2026-04-16 14:02:49.280000+00:00,BUY,1,50,0.0,7069.25,7052.75,7069.25,7052.75,-825.0,-825.0,1,0.23340524100859353,1,0.0,1,PASS,,352637.5
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,6,,1800000,2026-04-16 13:45:11.916000+00:00,2026-04-16 14:05:50.298000+00:00,BUY,1,50,0.0,7069.25,7054.25,7069.25,7054.25,-750.0,-750.0,1,0.21218658273508506,1,0.0,1,PASS,,352712.5
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,7,,1800000,2026-04-16 13:45:11.916000+00:00,2026-04-16 14:09:01.160000+00:00,BUY,1,50,0.0,7069.25,7057.75,7069.25,7057.75,-575.0,-575.0,1,0.16267638009689855,1,0.0,1,PASS,,352887.5
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,8,,1800000,2026-04-16 13:48:23.654000+00:00,2026-04-16 14:10:52.260000+00:00,BUY,1,50,0.0,7066.75,7058.5,7066.75,7058.5,-412.5,-412.5,1,0.11674390632185941,1,0.0,1,PASS,,352925.0
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,9,,1800000,2026-04-16 13:48:23.654000+00:00,2026-04-16 14:14:12.831000+00:00,BUY,1,50,0.0,7066.75,7058.25,7066.75,7058.25,-425.0,-425.0,1,0.12028160045282485,1,0.0,1,PASS,,352912.5
