symbol,root_symbol,margin_day,margin_initial,capital_1x,maint_1x,buffer_1x,initial_req,maint_req,buffer_req,trade_id,clOrdId,horizon_ms,open_ts_utc,close_ts_utc,open_side,qty,contract_multiplier,pred_value,open_exec_px,close_exec_px,open_mid_px,close_mid_px,pnl_db,pnl_calc,dd_dir_ok,dd_pct_move,dd_move_ok,dd_pnl_abs_diff,dd_pnl_ok,dd_status,dd_flags,notional
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,0,,1800000,2026-06-03 13:32:33.555000+00:00,2026-06-03 13:47:59.178000+00:00,BUY,1,50,0.0,7614.25,7582.5,7614.25,7582.5,-1587.5,-1587.5,1,0.41698131792362997,1,0.0,1,PASS,,379125.0
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,1,,1800000,2026-06-03 13:57:19.196000+00:00,2026-06-03 14:02:35.377000+00:00,SELL,1,50,0.0,7587.0,7592.75,7587.0,7592.75,-287.5,-287.5,1,0.07578753130354554,1,0.0,1,PASS,,379637.5
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,2,,1800000,2026-06-03 14:11:08.601000+00:00,2026-06-03 14:18:10.189000+00:00,SELL,1,50,0.0,7594.25,7594.75,7594.25,7594.75,-25.0,-25.0,1,0.006583928630213649,1,0.0,1,PASS,,379737.5
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,3,,1800000,2026-06-03 14:16:20.102000+00:00,2026-06-03 14:23:46.634000+00:00,SELL,1,50,0.0,7595.75,7589.0,7595.75,7589.0,337.5,337.5,1,0.08886548398775632,1,0.0,1,PASS,,379450.0
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,4,,1800000,2026-06-03 14:30:39.820000+00:00,2026-06-03 14:32:33.080000+00:00,BUY,1,50,0.0,7595.5,7595.0,7595.5,7595.0,-25.0,-25.0,1,0.006582845105654664,1,0.0,1,PASS,,379750.0
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,5,,1800000,2026-06-03 14:35:58.395000+00:00,2026-06-03 14:41:09.395000+00:00,SELL,1,50,0.0,7592.5,7594.5,7592.5,7594.5,-100.0,-100.0,1,0.02634178465591044,1,0.0,1,PASS,,379725.0
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,6,,1800000,2026-06-03 14:42:31.011000+00:00,2026-06-03 14:53:35.578000+00:00,BUY,1,50,0.0,7593.25,7588.75,7593.25,7588.75,-225.0,-225.0,1,0.05926316136041879,1,0.0,1,PASS,,379437.5
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,7,,1800000,2026-06-03 14:48:20.638000+00:00,2026-06-03 15:00:51.074000+00:00,BUY,1,50,0.0,7590.25,7590.5,7590.25,7590.5,12.5,12.5,1,0.0032936991535193177,1,0.0,1,PASS,,379525.0
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,8,,1800000,2026-06-03 14:56:16.538000+00:00,2026-06-03 15:01:24.504000+00:00,BUY,1,50,0.0,7589.25,7591.0,7589.25,7591.0,87.5,87.5,1,0.023058932042033138,1,0.0,1,PASS,,379550.0
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,9,,1800000,2026-06-03 15:06:43.780000+00:00,2026-06-03 15:12:29.558000+00:00,BUY,1,50,0.0,7588.25,7589.25,7588.25,7589.25,50.0,50.0,1,0.013178269034362337,1,0.0,1,PASS,,379462.5
