symbol,root_symbol,margin_day,margin_initial,capital_1x,maint_1x,buffer_1x,initial_req,maint_req,buffer_req,trade_id,clOrdId,horizon_ms,open_ts_utc,close_ts_utc,open_side,qty,contract_multiplier,pred_value,open_exec_px,close_exec_px,open_mid_px,close_mid_px,pnl_db,pnl_calc,dd_dir_ok,dd_pct_move,dd_move_ok,dd_pnl_abs_diff,dd_pnl_ok,dd_status,dd_flags,notional
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,0,,1800000,2026-07-10 13:48:21.171000+00:00,2026-07-10 14:15:39.200000+00:00,BUY,1,50,0.0,7599.5,7598.75,7599.5,7598.75,-37.5,-37.5,1,0.009869070333574577,1,0.0,1,PASS,,379937.5
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,1,,1800000,2026-07-10 13:53:52.247000+00:00,2026-07-10 14:18:30.487000+00:00,BUY,1,50,0.0,7603.25,7600.25,7603.25,7600.25,-150.0,-150.0,1,0.03945681123203893,1,0.0,1,PASS,,380012.5
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,2,,1800000,2026-07-10 13:59:33.626000+00:00,2026-07-10 14:21:01.064000+00:00,BUY,1,50,0.0,7602.5,7598.25,7602.5,7598.25,-212.5,-212.5,1,0.055902663597500825,1,0.0,1,PASS,,379912.5
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,3,,1800000,2026-07-10 14:04:36.131000+00:00,2026-07-10 14:23:52.333000+00:00,BUY,1,50,0.0,7603.0,7598.5,7603.0,7598.5,-225.0,-225.0,1,0.05918716296198869,1,0.0,1,PASS,,379925.0
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,4,,1800000,2026-07-10 14:10:17.387000+00:00,2026-07-10 14:26:12.760000+00:00,BUY,1,50,0.0,7601.75,7595.75,7601.75,7595.75,-300.0,-300.0,1,0.07892919393560693,1,0.0,1,PASS,,379787.5
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,5,,1800000,2026-07-10 14:10:17.387000+00:00,2026-07-10 14:29:33.592000+00:00,BUY,1,50,0.0,7601.75,7600.75,7601.75,7600.75,-50.0,-50.0,1,0.013154865655934489,1,0.0,1,PASS,,380037.5
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,6,,1800000,2026-07-10 14:10:17.387000+00:00,2026-07-10 14:31:14.769000+00:00,BUY,1,50,0.0,7601.75,7599.0,7601.75,7599.0,-137.5,-137.5,1,0.036175880553819845,1,0.0,1,PASS,,379950.0
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,7,,1800000,2026-07-10 14:31:14.769000+00:00,2026-07-10 14:45:49.104000+00:00,SELL,1,50,0.0,7599.0,7591.5,7599.0,7591.5,375.0,375.0,1,0.09869719699960522,1,0.0,1,PASS,,379575.0
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,8,,1800000,2026-07-10 14:36:16.342000+00:00,2026-07-10 14:51:01.811000+00:00,SELL,1,50,0.0,7583.0,7594.25,7583.0,7594.25,-562.5,-562.5,1,0.14835816958987208,1,0.0,1,PASS,,379712.5
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,9,,1800000,2026-07-10 14:41:17.524000+00:00,2026-07-10 14:51:31.183000+00:00,SELL,1,50,0.0,7586.0,7596.5,7586.0,7596.5,-525.0,-525.0,1,0.13841286580543105,1,0.0,1,PASS,,379825.0
