symbol,root_symbol,margin_day,margin_initial,capital_1x,maint_1x,buffer_1x,initial_req,maint_req,buffer_req,trade_id,clOrdId,horizon_ms,open_ts_utc,close_ts_utc,open_side,qty,contract_multiplier,pred_value,open_exec_px,close_exec_px,open_mid_px,close_mid_px,pnl_db,pnl_calc,dd_dir_ok,dd_pct_move,dd_move_ok,dd_pnl_abs_diff,dd_pnl_ok,dd_status,dd_flags
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,0,,3600000,2026-04-02 13:32:00+00:00,2026-04-02 15:08:00+00:00,BUY,1,50,0.0,6534.875,6610.125,6534.875,6610.125,3762.5,3762.5,1,1.1515139922339754,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,1,,3600000,2026-04-02 13:52:00+00:00,2026-04-02 15:30:00+00:00,BUY,1,50,0.0,6539.875,6615.125,6539.875,6615.125,3762.5,3762.5,1,1.150633613027772,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,2,,3600000,2026-04-02 14:05:00+00:00,2026-04-02 15:31:00+00:00,BUY,1,50,0.0,6554.375,6613.125,6554.375,6613.125,2937.5,2937.5,1,0.8963478592543148,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,3,,3600000,2026-04-02 14:23:00+00:00,2026-04-02 15:48:00+00:00,BUY,1,50,0.0,6572.125,6613.125,6572.125,6613.125,2050.0,2050.0,1,0.6238469292656484,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,4,,3600000,2026-04-02 14:34:00+00:00,2026-04-02 16:09:00+00:00,BUY,1,50,0.0,6586.875,6593.875,6586.875,6593.875,350.0,350.0,1,0.10627194230951705,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,5,,3600000,2026-04-02 14:49:00+00:00,2026-04-02 16:15:00+00:00,BUY,1,50,0.0,6610.875,6597.625,6610.875,6597.625,-662.5,-662.5,1,0.20042732618601924,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,6,,3600000,2026-04-02 14:59:00+00:00,2026-04-02 16:21:00+00:00,BUY,1,50,0.0,6618.125,6591.75,6618.125,6591.75,-1318.75,-1318.75,1,0.3985267730663896,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,7,,3600000,2026-04-02 15:09:00+00:00,2026-04-02 16:39:00+00:00,BUY,1,50,0.0,6609.375,6596.625,6609.375,6596.625,-637.5,-637.5,1,0.19290780141843972,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,8,,3600000,2026-04-02 15:20:00+00:00,2026-04-02 16:51:00+00:00,BUY,1,50,0.0,6609.375,6604.625,6609.375,6604.625,-237.5,-237.5,1,0.0718676122931442,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,9,,3600000,2026-04-02 15:45:00+00:00,2026-04-02 17:03:00+00:00,BUY,1,50,0.0,6610.375,6601.375,6610.375,6601.375,-450.0,-450.0,1,0.1361496132972789,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,10,,3600000,2026-04-02 16:28:00+00:00,2026-04-02 17:17:00+00:00,BUY,1,50,0.0,6595.625,6609.875,6595.625,6609.875,712.5,712.5,1,0.2160523074007391,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,11,,3600000,2026-04-02 16:43:00+00:00,2026-04-02 17:21:00+00:00,BUY,1,50,0.0,6605.375,6610.125,6605.375,6610.125,237.5,237.5,1,0.07191113297882405,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,12,,3600000,2026-04-02 16:59:00+00:00,2026-04-02 17:47:00+00:00,BUY,1,50,0.0,6601.375,6597.375,6601.375,6597.375,-200.0,-200.0,1,0.06059343697335782,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,13,,3600000,2026-04-02 17:10:00+00:00,2026-04-02 18:41:00+00:00,BUY,1,50,0.0,6601.875,6607.625,6601.875,6607.625,287.5,287.5,1,0.08709646880621036,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,14,,3600000,2026-04-02 17:29:00+00:00,2026-04-02 18:44:00+00:00,BUY,1,50,0.0,6611.125,6605.625,6611.125,6605.625,-275.0,-275.0,1,0.08319310253549887,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,15,,3600000,2026-04-02 17:33:00+00:00,2026-04-02 18:55:00+00:00,BUY,1,50,0.0,6608.625,6609.875,6608.625,6609.875,62.5,62.5,1,0.018914675897028502,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,16,,3600000,2026-04-02 17:45:00+00:00,2026-04-02 19:00:00+00:00,BUY,1,50,0.0,6603.375,6611.125,6603.375,6611.125,387.5,387.5,1,0.11736422662653567,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,17,,3600000,2026-04-02 17:59:00+00:00,2026-04-02 19:19:00+00:00,BUY,1,50,0.0,6596.625,6609.875,6596.625,6609.875,662.5,662.5,1,0.20086028840505563,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,18,,3600000,2026-04-02 18:09:00+00:00,2026-04-02 19:20:00+00:00,BUY,1,50,0.0,6605.125,6610.125,6605.125,6610.125,250.0,250.0,1,0.07569879449669764,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,19,,3600000,2026-04-02 18:22:00+00:00,2026-04-02 19:30:00+00:00,BUY,1,50,0.0,6604.125,6609.125,6604.125,6609.125,250.0,250.0,1,0.07571025684704635,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,20,,3600000,2026-04-02 18:25:00+00:00,2026-04-02 19:33:00+00:00,BUY,1,50,0.0,6600.625,6606.875,6600.625,6606.875,312.5,312.5,1,0.09468800303001611,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,21,,3600000,2026-04-02 19:09:00+00:00,2026-04-02 19:48:00+00:00,BUY,1,50,0.0,6612.625,6608.375,6612.625,6608.375,-212.5,-212.5,1,0.06427099676754693,1,0.0,1,PASS,
ES,ES,500.0,26628.8,26628.8,24498.496,28173.270399999998,26628.8,24498.496,28173.270399999998,22,,3600000,2026-04-02 19:46:00+00:00,2026-04-02 19:59:00+00:00,BUY,1,50,0.0,6607.125,6622.625,6607.125,6622.625,775.0,775.0,1,0.23459522863575308,1,0.0,1,PASS,
